episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
390,18,18,"""Hanabi's Decision""Transcription: ""Hanabi no Ketsui"" (Japanese: ハナビの決意)",Kiyoshi Murayama,Yuka Miyata,2014-12-04,NA,6.7,179,"Hanabi begins training in order to be strong and kind like Hinata. But when Hinata is labeled unfit as a successor, Hanabi's heart becomes bound to her destiny."
391,18,19,"""Madara Uchiha Arises""Transcription: ""Uchiha Madara, Tatsu"" (Japanese: うちはマダラ、立つ)",Masaaki Kumagai,Yasuyuki Suzuki,2014-12-11,NA,7.9,628,"Naruto and the Allied Shinobi Forces successfully extract the Tailed Beasts from Obito. Only Madara remains, and Naruto heads out to tackle this foe."
392,18,20,"""The Hidden Heart""Transcription: ""Ura no Kokoro"" (Japanese: 裏の心)",Masayuki Yamada,Katsuhiko Chiba,2014-12-18,NA,7.7,594,"With his newly revived strength, Madara doesn't give in against the nine Tailed Beasts."
393,18,21,"""A True Ending""Transcription: ""Hontō no Owari"" (Japanese: 本当の終わり)",Kazunori Mizuno,Shin Yoshida,2014-12-25,NA,8,809,"Despite all efforts, Kurama is extracted from Naruto, and ultimately, all the Tailed Beasts are imprisoned inside the Gedo Statue."
394,19,1,"""The New Chunin Exams""Transcription: ""Aratanaru Chūnin Shiken"" (Japanese: 新たなる中忍試験)",Naoki Horiuchi,Junki Takegami,2015-01-08,NA,6.4,184,"Tsunade has left Naruto's life in Sakura's hands. As she rides off with Naruto on Gara's sand to find Minato, the Fourth Hokage, the scene skips backwards to two years after Naruto left the Hidden Leaf Village to train with Master Jariaya. All of Naruto's comrades continue to be inspired by him even in his absence and train hard for his return. Amidst all of the training, the Fifth Hokage, Lady Tsunade, and the Fifth Kazekage, Gara, meet to discuss the return of the chunin exams."
395,19,2,"""The Chunin Exams Begin""Transcription: ""Chūnin Shiken, Kaishi!"" (Japanese: 中忍試験、開始!)",Taisuke Mamoru,Junki Takegami,2015-01-15,NA,6.1,176,"The Hidden Leaf begin preparing for the Chunin Exams. Tsunade orders Kakashi to personally deliver an invitation to the Hidden Rain Village and, at the same time, gather intel. The Mist, Cloud and Stone send their regrets, but the Hidden Waterfall and Hidden Grass accept. Ino and Choji ask Sakura to join their three-man team as a stand-in for Shikamaru, who is already a chunin. But Sakura is hesitant and turns them down."
396,19,3,"""The Three Questions""Transcription: ""Mittsu no Mondai"" (Japanese: 三つの問題)",Kazuya Iwata,Katsuhiko Chiba,2015-01-22,NA,6.7,177,"The Chunin Exams finally begin and the proctor for Round One is none other than Shikamaru! The first exam is a written test. The entrants are separated from their teams, and with little explanation from Shikamaru, the exam begins. The time limit is 30 minutes and there are only three questions. As the minutes tick away, Neji remembers the last Chunin Exams where Naruto turned in a blank sheet and still passed. He begins to realize that this exam is not about measuring one's problem-solving skills!"
397,19,4,"""One Worthy as a Leader""Transcription: ""Rīdā ni Fusawashī Mono"" (Japanese: リーダーに相応しい者)",Atsushi Nigorikawa,Katsuhiko Chiba,2015-01-29,NA,6.7,173,"The genin are unable to figure out the answer and start to panic. Neji announces to everyone in the room that he will tell them how to answer the question. Some of the genin don't agree with Neji's taking the lead and try to pick a fight, but fighting is prohibited. Those who fear elimination follow Neji's instructions, and soon the time limit is up. However, Shikamaru introduces another question to be answered within three minutes. Will Neji and his team be able to pass this round?"
398,19,5,"""The Night Before the Second Exam""Transcription: ""Niji Shiken, Zen'ya"" (Japanese: 二次試験、前夜)",Tsuneo Tominaga,Shin Yoshida,2015-02-05,NA,6.4,172,"Kankuro tries in vain to stop Gaara from supervising the exams due to the lack of security and the threats against his life. Gaara vows to see the exams through to completion because of their significance to him as the place he first met Naruto. On the night before the Second Exam, the entrants gather in the cafeteria, and a brawl breaks out. While the Hidden Leaf stand by helpless, the only one who can calm everyone down is Fuu from the Hidden Waterfall Village."
399,19,6,"""Demon Desert Survival""Transcription: ""Ma no Sabaku no Sabaibaru"" (Japanese: 魔の砂漠のサバイバル)",Tokuji Kaneko,Shin Yoshida,2015-02-12,NA,6.3,172,"The Second Exam finally begins! To pass this stage, each team must take possession of both the Heaven and Earth scrolls and make it to the designated site in the center of the Demon Desert within 72 hours. Neji, Lee, and Tenten dash out at the starting signal. After observing Shira deflect Lee's kick and Fuu's enormous power, Neji decides they must avoid any encounter with their two teams. However, Lee is eager to challenge Shira!"
400,19,7,"""As a Taijutsu User""Transcription: ""Taijutsu Tsukai to shite..."" (Japanese: 体術使いとして...)",Kentarou Fujita,Shin Yoshida,2015-02-19,NA,6.1,175,"Like Lee, Shira can only use taijutsu. In the Hidden Sand, those who can't use ninjutsu cannot become shinobi. However, Lord Gaara recognizes Shira's taijutsu abilities and appoints him as his own taijutsu coach. Envious of Shira's sudden rise to prominence, the other Sand shinobi criticize and attack him. Noting the similarities of their circumstances, Lee is outraged at the ones who hurt and belittled Shira and sets out in pursuit!"
401,19,8,"""The Ultimate""Transcription: ""Kiwameshi mono"" (Japanese: 極めし者)",Kazunori Mizuno,Shin Yoshida,2015-02-26,NA,7.1,186,"Lee challenges Shira to a battle between taijutsu users! Although it first appears the two are evenly matched in speed and attacks, Lee's smaller physique begins to sustain damage. In order to counter this, Lee resorts to using his Eight Inner Gates, but he is unable to release the First Gate!"
402,19,9,"""Escape vs. Pursuit""Transcription: ""Tōsō VS Tsuigeki"" (Japanese: 逃走VS追跡)",Tsuneo Tominaga,Yasuyuki Suzuki,2015-03-05,NA,5.8,175,"Kiba and his team are in pursuit of Hidden Grass Ninja who have stolen their scroll! Their foes are experts of escape and prove elusive even for Kiba and his team of expert sensory ninja. Their goal is just before them, but unless they find the enemy, the Hidden Grass will get there first!"
403,19,10,"""Unwavering Gutsiness""Transcription: ""Akiramenai Dokonjō"" (Japanese: 諦めないド根性)",Masayuki Yamada,Yasuyuki Suzuki,2015-03-12,NA,5.8,172,"Kiba and his team are in pursuit of Hidden Grass Ninja who have stolen their scroll! Their foes are masters of escape and prove elusive even for Kiba and his team of expert sensory ninja. Their goal is just ahead of them, but unless they find the enemy, the Hidden Grass will get there first!"
404,19,11,"""Tenten's Troubles""Transcription: ""Tenten no Nayami"" (Japanese: テンテンの悩み)",Akira Shimizu,Katsuhiko Chiba,2015-03-19,NA,5.7,171,"As the team prepares for dinner, Tenten pulls out a scroll that contains all the ingredients for okonomiyaki. Lee is amazed at her ability to conjure up anything and mentions that she is ""convenient"" to have around. Tenten takes offense and storms off. The following day, they run into Ajisai of the Hidden Rain and her team. As fighting breaks out for the scrolls, Tenten feels an intense rivalry with Ajisai, who also specializes in Transportation Ninjutsu."
405,19,12,"""The Imprisoned Pair""Transcription: ""Tojikomerareta Futari"" (Japanese: 閉じ込められた二人)",Atsushi Nigorikawa,Katsuhiko Chiba,2015-03-26,NA,5.9,168,"An ancient ruin in Demon Desert comes crumbling down during the battle for the scrolls. Tenten and Ajisai fall deep below the rubble. When they realize they're trapped, they call a truce in order to find a way out. While searching for an exit, they are attacked by a swarm of giant ants. Witnessing Ajisai's proficiency with the Summoning Jutsu, Tenten recalls her training with Guy."
406,19,13,"""The Place Where I Belong""Transcription: ""Jibun no Ibasho"" (Japanese: 自分の居場所)","Fukutarou Hattori,Kazuya Iwata",Masahiro Hikokubo,2015-04-02,NA,5.7,169,"Ino, Sakura and Choji trudge across a desert under the blazing sun without any provisions. Ino and Sakura are arguing when a giant scorpion attacks and injures Sakura. While Ino tends to Sakura's wound with Medical Ninjutsu, she remembers back to when she ducked out of her Ino-Shika-Cho training and how her intense rivalry with Sakura drove her to ask Lady Tsunade if she could become her apprentice."
407,19,14,"""The Yamanaka Clan: Secret Ninjutsu""Transcription: ""Yamanaka Ichizoku – Hiden Ninjutsu"" (Japanese: 山中一族・秘伝忍術)",Tokuji Kaneko,Masahiro Hikokubo,2015-04-09,NA,5.8,169,"As Ino and her team head toward an oasis, they are attacked by a team of Sand Shinobi comprised of Ameno, Shishio, and Kouji. Ameno is a Medical Ninja whose skills rival Sakura's. She also has a jutsu that proves difficult to counter. Kouji is a ninja who specializes in power-based attacks, like Choji. Shishio has a jutsu that enables him to disappear and stalk Team 10. Just as Ino and her teammates are pushed to the limit, Ino remembers her Yamanaka Clan training, which she once tried hard to avoid, and unleashes her Sensory Perception Jutsu!"
408,19,15,"""The Cursed Puppet""Transcription: ""Noroi no Ningyō"" (Japanese: 呪いの人形)",Tsuneo Tominaga,"Shuto Tanaka,Yuka Miyata",2015-04-16,NA,6.1,169,"Sakura and her team continue their trek across the desert towards the goal. Their continuous battles have depleted Sakura's chakra, so they stop to rest. Just then, they encounter a puppet manipulated by a rival team from the Sand and end up being discovered. Sakura is helpless since her chakra is not restored yet. Ino and Choji resolve to fight, but the three shinobi from the Sand prove to be too strong!"
409,19,16,"""Their Backs""Transcription: ""Futari no Senaka"" (Japanese: 二人の背中)",Yoshinori Odaka,"Shuto Tanaka,Yuka Miyata",2015-04-23,NA,6.2,168,"Ino and Choji fight to protect an immobilized Sakura although they have depleted most of their chakra due to the relentless fighting. Feeling helpless, Sakura recalls how Naruto and Sasuke always protected her. Sakura realizes that she has trained with Lady Tsunade and regains her confidence that she can protect Ino and Choji. Then the team from the Hidden Sand begins their final attack against the trio. Will Sakura be able to dig deep and stand up to them?!"
410,19,17,"""The Hidden Plot Set Into Motion""Transcription: ""Ugokidashita Inbō"" (Japanese: 動き出した陰謀)",Kentarou Fujita,Junki Takegami,2015-04-30,NA,6.3,169,"Sand Jonin Fugi sneaks into the Demon Desert and creates a massive sandstorm in order to assassinate Gaara, the Fifth Kazekage. Due to the magnitude of the storm, the Second Exam is postponed for the sake of safety. Then Matsuri and the Hidden Sand team fall into quicksand! Unaware of the sinister trap, Gaara ignores everyone's warnings and sets out to rescue Matsuri's team."
411,19,18,"""The Targeted Tailed Beast""Transcription: ""Nerawareta Bijū"" (Japanese: 狙われた尾獣)",Masayuki Yamada,Junki Takegami,2015-05-07,NA,6.1,169,"Gaara heads out to rescue Matsuri and the others but is attacked by a mysterious priest who binds him with a Chakra Chain to capture his Tailed Beast. The massive sandstorm subsides, but panic breaks out in Hidden Sand Village over Gaara's whereabouts. Meanwhile, Foo, who is also a Jinchuriki, senses that Gaara is in danger and abandons the Chunin Exams to help save him!"
412,19,19,"""Neji's Judgment""Transcription: ""Neji no Handan"" (Japanese: ネジの判断)",Tsuneo Tominaga,Junki Takegami,2015-05-14,NA,6.2,170,Neji and the team come across Matsuri collapsed in the desert and find out Garra is in trouble.
413,19,20,"""Hopes Entrusted to the Future""Transcription: ""Mirai ni Takusu Omoi"" (Japanese: 未来に託す思い)",Kazunori Mizuno,Junki Takegami,2015-05-21,NA,6.5,172,"Gaara meets with Fugi, the mastermind behind the assassination attempt on his life. He confides that perhaps, after all the fear and pain he has wrought upon the Sand, he has no right to be their leader. But there are those who accept him without prejudice--the next generation. Gaara, who has never felt this more deeply than during the Chunin Exams, tells Fugi to take his life, and his life alone, without involving the young shinobi. Meanwhile, Fuu, who has learned that there is someone very much like her by the name of Naruto, sets out to meet him."
414,20,1,"""On the Brink of Death""Transcription: ""Shi no Kiwa"" (Japanese: 死の際)",Akira Shimizu,Katsuhiko Chiba,2015-05-28,NA,7.9,416,"After his Tailed Beast is extracted, Naruto is on the verge of dying. Sakura desperately tries to save him, but Naruto's heart gives out."
415,20,2,"""The Two Mangekyo""Transcription: ""Futatsu no Mangekyō"" (Japanese: 二つの万華鏡)",Atsushi Nigorikawa,Shin Yoshida,2015-06-04,NA,8.2,310,"Madara has transformed into the Jinchuriki of the Ten Tails and appears before Kakashi. Kakashi and the others combine their powers to attack, but they are no match for Madara.."
416,20,3,"""The Formation of Team Minato""Transcription: ""Kessei: Minato Han"" (Japanese: 結成・ミナト班)",Kazuya Iwata,Shin Yoshida,2015-06-11,NA,7,207,Kakashi changes for the worse much to Obito's distress.
417,20,4,"""You'll Be My Backup""Transcription: ""Omae wa Bakkuappu da"" (Japanese: お前はバックアップだ)",Tokuji Kaneko,Shin Yoshida,2015-06-25,NA,8.1,271,"Obito's story continues, while he turns a new leaf and helps the Allied Shinobi Forces."
418,20,5,"""The Blue Beast vs. Six Paths Madara""Transcription: ""Aoki Mōjū VS Rikudō Madara"" (Japanese: 碧き猛獣VS六道マダラ)",Takuma Suzuki,Yasuyuki Suzuki,2015-07-02,NA,8.4,360,"Maito Gai remembers his academy years, his father Maito Dai's lessons and encouragement and his rivalry and friendship with Kakashi Hatake. Gai prepares himself to use the dangerous technique Hachimon Tonko no Jin."
419,20,6,"""Papa's Youth""Transcription: ""Papa no Seishun"" (Japanese: パパの青春)",Kentarou Fujita,Yasuyuki Suzuki,2015-07-09,NA,7.7,468,"With his father's teachings spurring him on, Guy sets out on his final battle."
420,20,7,"""The Eight Inner Gates Formation""Transcription: ""Hachimon Tonkō no Jin"" (Japanese: 八門遁甲の陣)",Masayuki Yamada,Yuka Miyata,2015-07-23,NA,8,779,"Guy Sensei has unleashed the Eight Inner Gates, opening all chakra limiters placed on the body in order to achieve power ten times greater than the hokages. His opponent is Madara Uchiha, who threatens to place the world under a deep sleep by fulfilling his Infinite Tsukuyomi. Madara, only lacking his left rinnegan to achieve full Six Paths mode, has tremendous power as is shown when he survives Might Guys Eight Inner Gates Unleashed Taijutsu. During Might Guy's and Madara's battle, Naruto is visited by someone deep within his subconscious, within his inner mind. This..."
421,20,8,"""The Sage of the Six Paths""Transcription: ""Rikudō Sennin"" (Japanese: 六道仙人)",Kazunori Mizuno,Katsuhiko Chiba,2015-07-30,NA,8.7,1261,Guy Sensei reaches his limits against Madara Uchiha. A new secret is unveiled to Naruto and Sasuke.
422,20,9,"""The Ones Who Will Inherit""Transcription: ""Uketsugareru Mono"" (Japanese: 受け継がれるもの)",Takuma Suzuki,Yuka Miyata,2015-08-06,NA,6.6,179,"After Naruto and Sasuke obtained the special Justus from the Sage of Six Pathes, Shippuden goes back in time all the way to Naruto's arrival at the Hidden Leaf Village after two years of training with Jaraiya. These next two episodes are meant to demonstrate the inheritance of the next generation and for who Naruto is fighting for. This flash back tells the story of Konohamaro's training as he is being taught the Rasengan by Naruto. This story plays along with the original plot and shows Konohamaro's development of his Rasengan throught time as the several events ..."
423,20,10,"""Naruto's Rival""Transcription: ""Naruto no Raibaru"" (Japanese: ナルトのライバル)",Akira Shimizu,Yuka Miyata,2015-08-06,NA,6.9,186,"After Naruto and Sasuke obtained the special Justus from the Sage of Six Pathes, Shippuden goes back in time all the way to Naruto's arrival at the Hidden Leaf Village after two years of training with Jaraiya. These next two episodes are meant to demonstrate the inheritance of the next generation and for who Naruto is fighting for. This flash back tells the story of Konohamaro's training as he is being taught the Rasengan by Naruto. This story plays along with the original plot and shows Konohamaro's development of his Rasengan throught time as the several events ..."
424,20,11,"""To Rise Up""Transcription: ""Tatsu"" (Japanese: 立つ)",Tomokazu Iwasaki,Yasuyuki Suzuki,2015-08-13,NA,8.2,928,Naruto and Sasuke begin to fight against Madara.
425,20,12,"""The Infinite Dream""Transcription: ""Mugen no Yume"" (Japanese: 無限の夢)","Ayataka Tanemura,Kazuya Iwata",Katsuhiko Chiba,2015-08-20,NA,7.9,645,"Madara is after Obito's left eye, his rinnegan, which was initially Madara's to begin with. When he obtains it, new powers are revealed that change the tide and intensity of the war, which consists of Naruto, Sasuke, and Sakura fighting Madara. Amidst the wait for Madara to come back from Obito's alternate dimension, Kakashi thinks back to the formation of Team Seven and right their questions Sasuke as to what his true intentions are, but before Sasuke could give him a definitive answer, Kakashi shuts him down and Madara shows up. While keeping Team Seven occupied ..."
426,20,13,"""The Infinite Tsukuyomi""Transcription: ""Mugen Tsukuyomi"" (Japanese: 無限月読)",Sumito Sasaki,Shuto Tanaka,2015-08-27,NA,8.4,319,Madara awakens the Infinite Tsukuyomi. Sasuke finds a way to protect his friends from Genjutsu. Yamato appears in the battlefield. The Infinite Dream falls upon the Shinobi World.
427,20,14,"""To the Dream World""Transcription: ""Yume no Sekai e"" (Japanese: 夢の世界へ)",Hiroyuki Tsuchiya,Yuka Miyata,2015-09-03,NA,5.8,193,"Tenten falls under the Infinite Tsukuyomi and wakes up in the Hidden Leaf Village. When Lee and Guy Sensei appear, Tenten is relieved to see that she is not alone. But her joy is short-lived, as both men act oddly and are dressed stylishly-just where has she been transported to?"
428,20,15,"""Where Tenten Belongs""Transcription: ""Tenten no Ibasho"" (Japanese: テンテンの居場所)",Masayuki Yamada,Yuka Miyata,2015-09-03,NA,5.8,182,"Inside the ""Infinite Tsukuyomi"", Tenton tries to find a way to break free of the genjutsu, while struggling with her place in the new fake world."
429,20,16,"""Killer Bee Rappuden - Part 1""Transcription: ""Kirābī Rappūden - Ten no Maki"" (Japanese: キラービー落風伝・天の巻)",Yoshinobu Tokumoto,Katsuhiko Chiba,2015-09-10,NA,5.2,183,Tailed beast jinchuriki's are gathering together to go up against the akatsuki after stealing most of their tailed beast powers.
430,20,17,"""Killer Bee Rappuden - Part 2""Transcription: ""Kirābī Rappūden - Chi no Maki"" (Japanese: キラービー落風伝・地の巻)",Kazunori Mizuno,Katsuhiko Chiba,2015-09-17,NA,5.3,180,"Inside the genjutsu placed by the Infinite Tsukoymi, Killer Bee has gathered all the jinchuriki in a fight against the akatsuki."
431,20,18,"""To See That Smile, Just One More Time""Transcription: ""Ano Egao o Mōichido"" (Japanese: あの笑顔をもう一度)",Kiyoshi Murayama,Yuka Miyata,2015-09-24,NA,6.2,179,"Karin is caught within the Infinite Tsukuyomi and dreams of her past. She was born into the Uzumaki Clan and has the unique ability to heal anyone who bites into her. Driven out of her village, the Hidden Grass takes her in, only to use her for this ability. Karin has no choice but to endure constant suffering in order to survive. She is later chosen to enter the Chunin Exams, where Sasuke saves her life. Karin has never forgotten what he did for her-or his smile."
432,20,19,"""The Loser Ninja""Transcription: ""Ochikobore Shinobi"" (Japanese: 落ちこぼれ忍者)",Akira Shimizu,Junki Takegami,2015-10-01,NA,5.6,172,"With the exception of Naruto's Team 7, which is protected by the Susano'o, all other shinobi have been swept into a dream world by the Infinite Tsukuyomi. Even the Hokage, Tsunade, has fallen into a dream state. She awakens to find herself in the Leaf Village, where she discovers Jiraiya's final book, entitled ""Jiraiya Ninja Scrolls,"" and begins to read."
433,20,20,"""The Search Mission""Transcription: ""Shutsugeki: Tansaku Ninmu"" (Japanese: 出撃・探索任務)",Maki Odaira,"Junki Takegami,Yasuyuki Suzuki",2015-10-08,NA,5.6,171,"Tsunade continues to read Jiraiya's novel. Chunin- and jonin-level ninja have gone missing, and the Fourth Hokage, Minato, orders a search mission with teams of genin led by Guy and Kurenai. Kakashi's Team 7 is also dispatched, but the hero Naruto Uzumaki, despite being the Hokage's son, has the misfortune of being labeled a loser."
434,20,21,"""Team Jiraiya""Transcription: ""Chīmu Jiraiya"" (Japanese: チーム・ジライヤ)",Takuma Suzuki,"Junki Takegami,Yasuyuki Suzuki",2015-10-15,NA,5.1,204,"Tsunade continues to read Jiraiya's novel. Chunin- and jonin-level ninja have gone missing, and the Fourth Hokage, Minato, orders a search mission with teams of genin led by Guy and Kurenai. Kakashi's Team 7 is also dispatched, but the hero Naruto Uzumaki, despite being the Hokage's son, has the misfortune of being labeled a loser."
435,20,22,"""Order of Priority""Transcription: ""Yūsen Jun'i"" (Japanese: 優先順位)",Kazuya Iwata,"Junki Takegami,Yasuyuki Suzuki",2015-10-22,NA,5.3,171,"Team Jiraiya, Shikamaru, and his Leaf teammates are lured into a mysterious village during their battle. A couple children from the village get caught in the crossfire and fall into a cave-in. Yahiko's team rushes to the rescue, but Shikamaru doesn't budge. Meanwhile, Naruto and Neji's teams rendezvous, but a mysterious voice addresses them out of nowhere."
436,20,23,"""The Masked Man""Transcription: ""Kamen no Otoko"" (Japanese: 仮面の男)",Ayataka Tanemura,"Junki Takegami,Yasuyuki Suzuki,Yuka Miyata",2015-11-05,NA,5.3,172,Naruto and Killer Bee rush to the battlefield when Nine Tails suddenly speaks to Naruto inside his mind. The Nine Tails questions Naruto's intent to end the hatred in the world and reminds him of how he was unable to save Sasuke.
437,20,24,"""The Sealed Power""Transcription: ""Fūin Sareshi Chikara"" (Japanese: 封印されし力)",Masayuki Yamada,"Junki Takegami,Yasuyuki Suzuki",2015-11-12,NA,5.4,173,"The Masked Man is satisfied that the Hidden Leaf Genin chose the importance of life over their mission, but orders his team to continue their surveillance. Meanwhile, Naruto is frustrated at his inabilities, and recalls why his father Minato sealed the Nine Tails inside of him."
438,20,25,"""The Rules or a Comrade""Transcription: ""Okite ka, Nakama ka"" (Japanese: 掟か、仲間か)",Kiyoshi Murayama,"Junki Takegami,Yasuyuki Suzuki",2015-11-19,NA,5.6,172,"Sasuke and Sakura join up with the others, but the Puppet User appears and blocks their path back to the Hidden Leaf Village. Sasuke wants to bring down the puppets and rush back to report to the Fourth Hokage, but Shikamaru and the others insist on staying and rescuing the jonin."
439,20,26,"""The Child of Prophecy""Transcription: ""Yogen no Ko"" (Japanese: 予言の子)",Shinnosuke Imagawa,"Junki Takegami,Yasuyuki Suzuki",2015-11-26,NA,5.7,171,"Jiraiya weakens the seal on the Nine Tails in order to help Naruto learn how to control the Tailed Beast's power. Jiraiya recalls the words spoken to him years ago by the Great Lord Elder. He told Jiraiya that he would have a student, and that his guidance would decide whether the student would save the Ninja World or destroy it."
440,20,27,"""The Caged Bird""Transcription: ""Kago no Tori"" (Japanese: 籠の鳥)",Kazunori Mizuno,Junki Takegami,2015-12-03,NA,5.8,172,"Naruto joins up with the rest of his comrades, and together they overcome the puppet attack. The masked man witnesses this and is convinced there is a future for the young shinobi. He promises to release the kidnapped jonin and begins to explain the truth, and the situation behind his motives."
441,20,28,"""Returning Home""Transcription: ""Kikan"" (Japanese: 帰還)",Toshihiro Maeya,Yuka Miyata,2015-12-10,NA,5.4,171,"Naruto's strength is recognized by his fellow genin, except Sasuke. But while Naruto enjoys a close relationship with his father, Sasuke's father, Fugaku, constantly compares Sasuke with his older brother Itachi and barely pays attention to him."
442,20,29,"""The Mutual Path""Transcription: ""Tagai no Michi"" (Japanese: 互いの道)",Maki Odaira,Yuka Miyata,2015-12-17,NA,6.1,171,"Sasuke takes his frustrations out on Naruto and the two begin to fight, this time with their respective new jutsu. Minato steps in just before it turns into a disaster. From this encounter, Sasuke realizes that he is nowhere equal to Naruto in strength and joins the Leaf Police Force, determined to beat him one day."
443,20,30,"""The Difference in Power""Transcription: ""Chikara no Sa"" (Japanese: 力の差)",Yasuhiro Akamatsu,Yuka Miyata,2015-12-24,NA,5.7,173,"Three years have passed since Sasuke joined the Leaf Police Force, and he's now lieutenant. But his abusive Police Force has only increased anxiety within the village, and the Uchiha remain in poor regard. Now that his training with Jiraiya has ended, Naruto returns to Hidden Leaf Village and has an explosive encounter with Sasuke in the middle of town."
444,20,31,"""Leaving the Village""Transcription: ""Sato Nuke"" (Japanese: 里抜け)",Kazuya Iwata,Yasuyuki Suzuki,2016-01-14,NA,5.9,172,Sasuke leaves the leaf village in search of power.
445,20,32,"""Pursuers""Transcription: ""Otte"" (Japanese: 追手)",Ayataka Tanemura,"Junki Takegami,Yasuyuki Suzuki",2016-01-21,NA,5.5,174,"The Anbu who attack Naruto and Shikamaru are agents sent by Danzo, who had promised Orochimaru that he would deliver Sasuke safely to him. Luckily, Neji, Lee and Tenten rush to their aid in the nick of time. Meanwhile, Hiruko reveals the truth behind the incident involving Hizashi."
446,20,33,"""Collision""Transcription: ""Shōtotsu"" (Japanese: 衝突)",Masayuki Yamada,Yasuyuki Suzuki,2016-01-28,NA,5.6,173,"Naruto reaches the tower Sasuke was heading for, thanks to Neji, Lee and Tenten deterring the agents from the Foundation. But it's too late-Sasuke's already made contact with Orochimaru. Naruto passionately tries to reason with Sasuke, but ultimately their powers collide."
447,20,34,"""Another Moon""Transcription: ""Mōhitotsu no Tsuki"" (Japanese: もう一つの月)",Toshihiro Maeya,"Junki Takegami,Yasuyuki Suzuki",2016-02-04,NA,5.6,174,"Naruto wakes up and is told by Shikamaru that Sasuke is no where to be found, and that the Anbu they were fighting retreated. While Tsunade updates Minato on the shinobi Sasuke attacked when he left the village, Shizune arrives with news someone infiltrated the village. Pain arrives and talks to Tsunade, vowing to cause the village pain. Pain attacks the village with a gigantic Chibaku Tensei. Naruto and the others arrive in the morning to find a crater where Konohagakure was supposed to be, with the Chibaku Tensei floating above it. Neji confirms the chakra of the ..."
448,20,35,"""Comrade""Transcription: ""Nakama"" (Japanese: 仲間)",Kiyoshi Murayama,Yasuyuki Suzuki,2016-02-11,NA,5.3,173,"Seeing Hinata almost die triggers Naruto's anger and he goes into Nine Tails State. Naruto's power is enormous, but Pain releases his jutsu to seal him away. Hatred consumes Naruto as he tries to break the seal. With Naruto unable to calmly control the Nine Tails' power, the village steadily heads toward destruction."
449,20,36,"""The Shinobi Unite""Transcription: ""Shinobitachi no Kyōen"" (Japanese: 忍達の共演)",Takeyuki Yanase,Junki Takegami,2016-02-18,NA,5.2,210,"Several months after Pain's attack, Jiraiya arrives with intel regarding the Akatsuki, who are attacking shinobi villages and kidnapping their Kage and jonin. He also reveals that Sasuke is working with them. Naruto is determined to bring his friend and comrade Sasuke back, once and for all."
450,20,37,"""Rival""Transcription: ""Raibaru"" (Japanese: 好敵手（ライバル）)",Kazunori Mizuno,Yasuyuki Suzuki,2016-02-25,NA,6.1,175,"Naruto wants to bring Sasuke back to the village, but Sasuke burns with a desire to bring Naruto down. Why is Sasuke so confrontational, and how did his feelings toward Naruto develop? The truth rises to the surface during Sasuke's relentless attack. Where will this battle lead? Find out in the conclusion of the ""Jiraiya Ninja Scrolls."""
451,20,38,"""Birth and Death""Transcription: ""Umareru Inochi, Shinu Inochi"" (Japanese: 生まれる命、死ぬ命)",Kazuya Iwata,Katsuhiko Chiba,2016-03-03,NA,7.8,282,"The shinobi under Madara's Infinite Tsukuyomi continue to slumber and have pleasant dreams. Meanwhile, Naruto and the others have escaped the genjutsu, thanks to Sasuke's protective Susano'o. As Sasuke starts remembering the death of Itachi, his Sharingan starts to resonate and show him the truth that Itachi never spoke a word of."
452,20,39,"""The Genius""Transcription: ""Isai"" (Japanese: 異才)",Norihiko Nagahama,Katsuhiko Chiba,2016-03-10,NA,8,270,"Having experienced the Great Ninja War as a young child, Itachi constantly questions the meaning the life and death, distancing him from other children his age. Soon after entering the Academy, Itachi exhibits his genius and finds himself at the top of his class."
453,20,40,"""The Pain of Living""Transcription: ""Inochi no Itami"" (Japanese: 命の痛み)",Maki Odaira,Masahiro Hikokubo,2016-03-17,NA,7.3,251,"Upon graduating from the Academy, Itachi becomes a genin and joins a team that includes Tenma, Shinko, and their Jonin Leader, Minazuki Sensei. They accept a mission from Granny Cat to look for a missing feline who's a skilled Ninja Cat."
454,20,41,"""Shisui's Request""Transcription: ""Shisui no Irai"" (Japanese: シスイの依頼)",Yuusuke Onoda,Masahiro Hikokubo,2016-03-24,NA,8,267,Itachi accompanies his friend Shisui on a three-part training exercise. The two come across a battle between the Hokage's ANBU and the Foundation. Itachi is confused by their motives and can't discern which side is right or wrong. But Shisui is unwavering in his determination to stop the fighting.
455,20,42,"""Moonlit Night""Transcription: ""Tsukiyo"" (Japanese: 月夜)",Masahiko Murata,Katsuhiko Chiba,2016-04-07,NA,7.7,632,"Itachi joins the ANBU and is quickly promoted to captain. But he must report directly to Danzo, and is placed as a double agent to observe the Uchiha clan, who are in the midst of planning a coup d'état. With dissatisfaction rising within the clan, the Uchiha ultimately decide to carry out their revolt, and the fateful night approaches."
